0	input_tensor	output	151.061     151.061
1	resnet_model/batch_normalization_25/FusedBatchNorm	output	0	12.646552
2	resnet_model/conv2d_39/Conv2D	output	0	6.8407474
3	resnet_model/batch_normalization_27/FusedBatchNorm	output	0	18.525858
4	resnet_model/conv2d_6/Conv2D	output	0	9.1766205
5	resnet_model/add_4	output	0	17.957554
6	resnet_model/conv2d_22/Conv2D	output	0	5.2187967
7	resnet_model/batch_normalization_7/FusedBatchNorm	output	0	11.833694
8	resnet_model/batch_normalization_3/FusedBatchNorm	output	0	9.500516
9	resnet_model/batch_normalization_11/FusedBatchNorm	output	0	14.504744
10	resnet_model/add_13	output	0	29.063019
11	resnet_model/batch_normalization_40/FusedBatchNorm	output	0	16.418232
12	resnet_model/max_pooling2d/MaxPool	output	0	18.798717
13	resnet_model/conv2d_17/Conv2D	output	0	2.7885911
14	resnet_model/Relu_33	output	0	25.07838
15	resnet_model/batch_normalization_14/FusedBatchNorm	output	0	18.778517
16	resnet_model/Relu_19	output	0	7.8585477
17	resnet_model/Relu_41	output	0	7.606083
18	resnet_model/batch_normalization_46/FusedBatchNorm	output	0	24.102669
19	resnet_model/batch_normalization_36/FusedBatchNorm	output	0	25.07838
20	resnet_model/Relu_44	output	0	6.187578
21	resnet_model/batch_normalization_2/FusedBatchNorm	output	0	10.752634
22	resnet_model/conv2d_46/Conv2D	output	0	4.712508
23	resnet_model/add_9	output	0	30.375067
24	resnet_model/add_2	output	0	12.22102
25	resnet_model/conv2d_35/Conv2D	output	0	14.412901
26	resnet_model/batch_normalization/FusedBatchNorm	output	0	18.798717
27	resnet_model/batch_normalization_12/FusedBatchNorm	output	0	10.181625
28	resnet_model/Relu_15	output	0	17.957554
29	resnet_model/Relu_26	output	0	9.403971
30	resnet_model/conv2d_24/Conv2D	output	0	6.9831767
31	resnet_model/conv2d_9/Conv2D	output	0	5.529585
32	resnet_model/add_10	output	0	25.07838
33	resnet_model/conv2d_14/Conv2D	output	0	3.970576
34	resnet_model/Pad	output	0	151.061
35	resnet_model/batch_normalization_35/FusedBatchNorm	output	0	77.60103
36	resnet_model/conv2d_26/Conv2D	output	0	5.8630123
37	resnet_model/conv2d_47/Conv2D	output	0	30.598646
38	resnet_model/Relu_31	output	0	35.62034
39	resnet_model/Relu_24	output	0	20.02697
40	resnet_model/batch_normalization_39/FusedBatchNorm	output	0	24.271526
41	resnet_model/add_3	output	0	18.680698
42	resnet_model/batch_normalization_34/FusedBatchNorm	output	0	35.62034
43	resnet_model/conv2d_30/Conv2D	output	0	2.6829083
44	resnet_model/batch_normalization_49/FusedBatchNorm	output	0	17.918203
45	resnet_model/Relu_29	output	0	23.652754
46	resnet_model/Relu	output	0	18.798717
47	resnet_model/Relu_8	output	0	7.741421
48	resnet_model/Relu_25	output	0	18.470657
49	resnet_model/Relu_46	output	0	7.8526187
50	resnet_model/batch_normalization_6/FusedBatchNorm	output	0	11.369574
51	resnet_model/conv2d_15/Conv2D	output	0	16.25186
52	resnet_model/add	output	0	11.13686
53	resnet_model/conv2d_16/Conv2D	output	0	9.81961
54	resnet_model/Relu_13	output	0	7.81207
55	resnet_model/batch_normalization_4/FusedBatchNorm	output	0	9.368586
56	resnet_model/conv2d_7/Conv2D	output	0	3.1188924
57	resnet_model/batch_normalization_28/FusedBatchNorm	output	0	18.470657
58	resnet_model/dense/BiasAdd	output	0	14.779217
59	resnet_model/conv2d_23/Conv2D	output	0	2.2067084
60	resnet_model/add_1	output	0	11.833694
61	resnet_model/conv2d_4/Conv2D	output	0	5.1207952
62	resnet_model/batch_normalization_18/FusedBatchNorm	output	0	7.3283477
63	resnet_model/conv2d_40/Conv2D	output	0	19.304684
64	resnet_model/batch_normalization_47/FusedBatchNorm	output	0	6.212992
65	resnet_model/batch_normalization_13/FusedBatchNorm	output	0	9.972609
66	resnet_model/batch_normalization_51/FusedBatchNorm	output	0	8.560227
67	resnet_model/conv2d_20/Conv2D	output	0	2.369526
68	resnet_model/conv2d_19/Conv2D	output	0	7.0219784
69	resnet_model/batch_normalization_29/FusedBatchNorm	output	0	9.403971
70	resnet_model/Relu_23	output	0	9.2278595
71	resnet_model/conv2d_11/Conv2D	output	0	7.3038096
72	resnet_model/batch_normalization_37/FusedBatchNorm	output	0	27.604433
73	resnet_model/batch_normalization_5/FusedBatchNorm	output	0	10.220794
74	resnet_model/Relu_35	output	0	64.94719
75	resnet_model/conv2d_1/Conv2D	output	0	37.63547
76	resnet_model/Relu_14	output	0	9.066385
77	resnet_model/Relu_7	output	0	8.491851
78	resnet_model/Relu_17	output	0	7.8896174
79	resnet_model/batch_normalization_33/FusedBatchNorm	output	0	26.243391
80	resnet_model/batch_normalization_50/FusedBatchNorm	output	0	7.8526187
81	resnet_model/conv2d_31/Conv2D	output	0	7.897875
82	resnet_model/Pad_5	output	0	18.700665
83	resnet_model/Relu_2	output	0	9.500516
84	resnet_model/batch_normalization_42/FusedBatchNorm	output	0	12.375269
85	resnet_model/Relu_27	output	0	25.331066
86	resnet_model/Relu_21	output	0	19.326649
87	resnet_model/conv2d_10/Conv2D	output	0	2.41689
88	resnet_model/Pad_1	output	0	12.22102
89	resnet_model/Relu_6	output	0	11.833694
90	resnet_model/conv2d_25/Conv2D	output	0	9.25012
91	resnet_model/conv2d_51/Conv2D	output	0	3.1404073
92	resnet_model/Relu_37	output	0	16.418232
93	resnet_model/Relu_32	output	0	77.60103
94	resnet_model/Pad_6	output	0	10.846369
95	resnet_model/Pad_4	output	0	12.646552
96	resnet_model/conv2d_48/Conv2D	output	0	3.7611637
97	resnet_model/batch_normalization_30/FusedBatchNorm	output	0	25.331066
98	resnet_model/add_11	output	0	24.271526
99	resnet_model/Relu_48	output	0	56.94877
100	resnet_model/dense/MatMul	output	0	14.789358
101	resnet_model/add_5	output	0	21.54778
102	resnet_model/batch_normalization_1/FusedBatchNorm	output	0	12.222201
103	resnet_model/conv2d_5/Conv2D	output	0	7.3524566
104	resnet_model/conv2d_29/Conv2D	output	0	9.432265
105	resnet_model/conv2d_49/Conv2D	output	0	1.8486965
106	resnet_model/conv2d_45/Conv2D	output	0	3.8676624
107	resnet_model/Pad_2	output	0	10.181625
108	resnet_model/batch_normalization_22/FusedBatchNorm	output	0	8.16035
109	resnet_model/Relu_10	output	0	10.181625
110	resnet_model/batch_normalization_15/FusedBatchNorm	output	0	7.81207
111	resnet_model/add_7	output	0	20.02697
112	resnet_model/conv2d_8/Conv2D	output	0	5.4525805
113	resnet_model/conv2d_3/Conv2D	output	0	19.08705
114	resnet_model/batch_normalization_23/FusedBatchNorm	output	0	11.620296
115	resnet_model/conv2d_44/Conv2D	output	0	7.2802577
116	resnet_model/Relu_28	output	0	19.663708
117	resnet_model/conv2d_12/Conv2D	output	0	9.297413
118	resnet_model/batch_normalization_16/FusedBatchNorm	output	0	9.066385
119	resnet_model/Relu_36	output	0	24.271526
120	resnet_model/Relu_38	output	0	28.230762
121	resnet_model/add_8	output	0	25.331066
122	resnet_model/Relu_5	output	0	11.369574
123	resnet_model/conv2d_28/Conv2D	output	0	9.4201145
124	resnet_model/batch_normalization_9/FusedBatchNorm	output	0	7.741421
125	resnet_model/add_6	output	0	19.326649
126	resnet_model/Relu_30	output	0	30.375067
127	resnet_model/conv2d_33/Conv2D	output	0	4.6518965
128	resnet_model/conv2d_42/Conv2D	output	0	4.2170086
129	resnet_model/add_12	output	0	18.700665
130	resnet_model/add_15	output	0	56.94877
131	resnet_model/Pad_3	output	0	19.326649
132	resnet_model/batch_normalization_31/FusedBatchNorm	output	0	19.663708
133	resnet_model/batch_normalization_17/FusedBatchNorm	output	0	14.776367
134	resnet_model/Relu_39	output	0	18.700665
135	resnet_model/batch_normalization_32/FusedBatchNorm	output	0	23.652754
136	resnet_model/conv2d_32/Conv2D	output	0	4.8795643
137	resnet_model/batch_normalization_38/FusedBatchNorm	output	0	64.94719
138	resnet_model/conv2d_52/Conv2D	output	0	3.1295989
139	resnet_model/conv2d_13/Conv2D	output	0	6.7497616
140	resnet_model/conv2d_27/Conv2D	output	0	4.5543365
141	resnet_model/batch_normalization_20/FusedBatchNorm	output	0	10.686912
142	resnet_model/Squeeze	output	0	11.080691
143	resnet_model/Relu_9	output	0	12.22102
144	resnet_model/batch_normalization_8/FusedBatchNorm	output	0	8.491851
145	resnet_model/batch_normalization_44/FusedBatchNorm	output	0	10.846369
146	resnet_model/batch_normalization_19/FusedBatchNorm	output	0	7.8896174
147	resnet_model/conv2d_38/Conv2D	output	0	18.849882
148	resnet_model/conv2d/Conv2D	output	0	1221.2432
149	resnet_model/Relu_4	output	0	10.220794
150	resnet_model/Relu_47	output	0	8.560227
151	resnet_model/Relu_11	output	0	9.972609
152	resnet_model/batch_normalization_45/FusedBatchNorm	output	0	7.606083
153	resnet_model/batch_normalization_10/FusedBatchNorm	output	0	9.444941
154	resnet_model/batch_normalization_48/FusedBatchNorm	output	0	6.187578
155	resnet_model/Relu_40	output	0	10.846369
156	resnet_model/batch_normalization_41/FusedBatchNorm	output	0	28.230762
157	resnet_model/Relu_45	output	0	34.765312
158	resnet_model/Relu_22	output	0	12.646552
159	resnet_model/conv2d_36/Conv2D	output	0	7.078266
